,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
91,11000093,0,GRÜNE,1946,Tierärztin,Deutschland,Bard,Sabine,['10'],['Landesliste'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,11000094,1,SPD,1927,Facharzt für innere Medizin,Deutschland,Bardens,Hans,"['5', '6', '7', '8', '9']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
93,11000095,1,CDU,1942,Postbeamter a.D.,Deutschland,Bargfrede,Heinz-Günter,"['12', '13']","['Direktwahl', 'Direktwahl']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
94,11000096,1,CDU,1891,Baustoffgroßhändler,Deutschland,Barlage,Heinrich,['2'],['Direktwahl'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,11000097,1,CDU,1903,Rechtsanwalt und Notar,Deutschland,Bartels,Wolfgang,['3'],['Landesliste'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,11000098,1,CDU,1937,Rechtsanwalt,Deutschland,Barthel,Lothar,['11'],['Volkskammer'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,11000099,1,CDU,1893,Kaufmann,Deutschland,Bartram,Walter,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,11000100,1,SPD,1941,Dipl.-Ökonom,Deutschland,Bartsch,Holger,['12'],['Landesliste'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,11000101,1,SPD,1905,Verwaltungsangestellter,Deutschland,Bartsch,Willy,"['4', '5', '6']","['Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,11000102,1,CDU,1924,Präsident DBT a.D.,Deutschland,Barzel,Rainer,"['3', '4', '5', '6', '7', '8', '9', '10']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Landesliste', 'Landesliste']",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
101,11000103,1,GRÜNE,1923,Generalmajor,Deutschland,Bastian,Gert,['10'],['Landesliste'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,11000104,1,SPD,1927,Schweißer,Deutschland,Batz,Hans,"['6', '7', '8']","['Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
103,11000105,1,SPD,1909,Verwaltungsangestellter,Deutschland,Bauer,Hannsheinz,"['2', '3', '4', '5', '6']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,11000106,1,CDU,1949,"Stellvertretender Vorsitzender b. Rat des Kreises Burg, Physiker",Deutschland,Bauer,Harald,['11'],['Volkskammer'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,11000107,1,CSU,1915,"Landwirt, Molkereibesitzer",Deutschland,Bauer,Josef,"['2', '3', '4', '5']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,11000108,1,CDU,1939,Apotheker,Deutschland,Bauer,Wolf,"['11', '12', '13', '14', '15', '16']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
107,11000109,1,CSU,1895,Landwirt,Deutschland,Bauereisen,Friedrich,"['1', '2', '3']","['Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,11000110,1,CDU,1900,Landwirt,Deutschland,Bauknecht,Bernhard,"['1', '2', '3', '4', '5']","['Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl', 'Direktwahl']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,11000111,1,FDP,1932,Rechtsanwalt,Deutschland,Baum,Gerhart Rudolf,"['7', '8', '9', '10', '11', '12']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
