WP-JAHRE,NUMIND,ID,ANFANG,VORNAME,NACHNAME,ALTER,GESCHLECHT,PARTEI_KURZ,BERUF,AUSLAND,MANDATSART,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19
1949-1953;01,92,11000515,1949,Ernst,Falkner,40,1,Andere,"Philologe, Jurist",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,93,11000516,1949,Walter,Faller,40,1,SPD,Mechaniker,0,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,94,11000518,1949,Ernst August,Farke,54,1,Andere,Lehrer,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,95,11000521,1949,Heinrich,Fassbender,50,1,FDP,Kaufmann,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,96,11000529,1949,Aloys,Feldmann,52,1,Union,"Fabrikant, Bürgermeister a. D.",0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,97,11000545,1949,Conrad,Fink,49,1,Union,Landrat a. D.,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,98,11000548,1949,Walter,Fisch,39,1,Andere,Parteisekretät,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,99,11000559,1949,Willy,Fischer,45,1,SPD,Kaufmännischer Angestellter,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,100,11000570,1949,Egon,Franke,36,1,SPD,Bundesminister a. D.,0,1.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1949-1953;01,101,11000577,1949,Rudolf,Freidhof,61,1,SPD,Regierungsrat a. D.,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,102,11000578,1949,Walter,Freitag,60,1,SPD,"Werkzeugdreher, Gewerkschaftsangestellter",0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,103,11000582,1949,Richard,Freudenberg,57,1,FDP,Fabrikant,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,104,11000583,1949,Martin,Frey,45,1,Union,Dipl.-Landwirt,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,105,11000585,1949,Hans-Joachim,Fricke,45,1,Andere,Syndikus,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,106,11000587,1949,Ferdinand,Friedensburg,63,1,Union,"Bergassessor a. D., Regierungspräsident a. D., Professor, Domherr von Brandenburg",0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,107,11000592,1949,Hans,Friedrich,32,1,FDP,Arzt,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,108,11000606,1949,Hans-Gerd,Fröhlich,35,1,Andere,"Verwaltungsangestellter, Kaufmann",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,109,11000608,1949,Heinz,Frommhold,43,1,Andere,"Landwirt, Verwaltungsangestellter",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,110,11000610,1949,Konrad,Frühwald,59,1,FDP,Landwirt,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,111,11000612,1949,Gustav,Fuchs,49,1,Union,Landwirt,0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,112,11000617,1949,Elimar,Fürstenberg,39,1,Union,"Philologe, Dozent",0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,113,11000618,1949,Josef-Ernst,Fugger von Glött,54,1,Union,Landwirt,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,114,11000621,1949,Oscar,Funcke,64,1,FDP,"Fabrikant, Unternehmer",0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,115,11000622,1949,Friedrich,Funk,49,1,Union,Dipl.-Landwirt,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,116,11000640,1949,Karl,Gaul,60,1,FDP,Oberschulrat,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949-1953;01,117,11000660,1949,Karl,Gengler,63,1,Union,Landesarbeitsamtspräsident a. D.,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
