WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE
2017-;19,11003512,1,SPD,1971,Freier Journalist,Deutschland,Bülow,Marco,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003514,0,Union,1964,Volljuristin,Deutschland,Connemann,Gitta,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003516,1,Union,1970,"Bundesminister a.D., Diplom-Soziologe",Deutschland,Dobrindt,Alexander,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003525,1,Union,1963,"Geschäftsführer, Parl. Staatssekretär",Deutschland,Ferlemann,Enak,"['15', '16', '17', '18', '19']","[0, 0, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003527,0,Union,1963,"Tierärztin, Parl. Staatssekretärin",Deutschland,Flachsbarth,Maria,"['15', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003530,1,FDP,1965,Rechtsanwalt,Deutschland,Fricke,Otto,"['15', '16', '17', '19']","[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2017-;19
2017-;19,11003534,1,Union,1951,Kaufmann,Deutschland,Gienger,Eberhard,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003541,1,Union,1960,Rechtsanwalt und Notar a. D.,Deutschland,Grosse-Brömer,Michael,"['15', '16', '17', '18', '19']","[0, 0, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003542,1,Union,1959,"Notar a. D., Parl. Staatssekretär",Deutschland,Grübel,Markus,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003544,1,Union,1970,Rechtsanwalt,Deutschland,Gutting,Olav,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003545,0,SPD,1955,"Goldschmiedin, Parl. Staatssekretärin",Deutschland,Hagedorn,Bettina,"['15', '16', '17', '18', '19']","[1, 1, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003547,0,Bündnis 90/Die Grünen,1963,"Dipl.-Psychologin, Senatorin a. D.",Deutschland,Hajduk,Anja,"['15', '16', '18', '19']","[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2017-;19
2017-;19,11003551,1,Union,1965,Rechtsanwalt,Deutschland,Hennrich,Michael,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003556,0,SPD,1953,Redakteurin,Deutschland,Hiller-Ohm,Gabriele,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003573,1,Union,1964,Wirtschaftsjurist,Deutschland,Krichbaum,Gunther,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003574,1,Union,1969,"Volljurist, Parl. Staatssekretär",Deutschland,Krings,Günter,"['15', '16', '17', '18', '19']","[1, 1, 1, 1, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003576,0,Bündnis 90/Die Grünen,1955,"Rechtsanwältin, Sozialarbeiterin, Bundesministerin a.D., Fraktionsvorsitzende a. D.",Deutschland,Künast,Renate,"['15', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003578,1,Bündnis 90/Die Grünen,1966,Politologe,Deutschland,Kurth,Markus,"['15', '16', '17', '18', '19']","[0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
2017-;19,11003582,0,Union,1963,Handelsfachwirtin,Italien,Lips,Patricia,"['17', '18', '19', '15', '16']","[1, 1, 1, 0, 1]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2017-;19
