WP-JAHRE,ID,GESCHLECHT,PARTEI_KURZ,GEBURTSDATUM,BERUF,GEBURTSLAND,NACHNAME,VORNAME,WAHLPERIODEN,MANDATSARTEN,AUSLAND,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP-JAHRE,ANFANG,ALTER
1949-1953,11000283,1,SPD,1905,"Chefredakteur, Lehrer",Deutschland,Brunner,Karl,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,44
1949-1953,11000287,1,CDU,1906,"Rechtsanwalt, Verleger",Deutschland,Bucerius,Gerd,"['1', '2', '3', '4']","['Direktwahl', 'Direktwahl', 'Landesliste', 'Landesliste']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,43
1949-1953,11000319,1,DP,1894,Diplomat,Deutschland,Campe,Carl,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,55
1949-1953,11000329,1,FU,1885,Reichsbahnobersekretär i. R.,Deutschland,Clausen,Hermann,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,64
1949-1953,11000340,1,SPD,1905,"Verlagsleiter, Chefredakteur",Deutschland,Cramer,Johann,"['1', '3', '4', '5', '6']","['Direktwahl', 'Landesliste', 'Direktwahl', 'Landesliste', 'Direktwahl']",0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,44
1949-1953,11000355,1,SPD,1904,Bergmann,Deutschland,Dannebom,Otto,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,45
1949-1953,11000356,1,FDP,1902,Landwirtschaftsrat,Deutschland,Dannemann,Robert,"['1', '2']","['Direktwahl', 'Direktwahl']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,47
1949-1953,11000362,1,FU,1899,Dipl.-Ingenieur,Deutschland,Decker,Hugo,['1'],['Direktwahl'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,50
1949-1953,11000363,1,CDU,1889,"Journalist, Kaufmann, Angestellter",Deutschland,Degener,Johannes,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,60
1949-1953,11000364,1,FDP,1897,"Vizepräsident DBT a. D., Rechtsanwalt",Deutschland,Dehler,Thomas,"['1', '2', '3', '4', '5']","['Landesliste', 'Landesliste', 'Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,52
1949-1953,11000377,1,FU,1911,"Tischlergeselle, Bergmann",Deutschland,Determann,Gregor,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,38
1949-1953,11000385,1,SPD,1898,Angestellter,Deutschland,Diel,Anton,"['1', '2', '3']","['Landesliste', 'Landesliste', 'Landesliste']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,51
1949-1953,11000390,0,CDU,1894,Hausfrau,Deutschland,Dietz,Maria,"['1', '2']","['Landesliste', 'Landesliste']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,55
1949-1953,11000392,1,FDP,1889,"Schuhmachermeister, Kaufmann",Deutschland,Dirscherl,Hans,['1'],['Landesliste'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949-1953,1949,60
